AddressName,Latitude,Longitude,GridRow,GridColumn
Rivian-Tenth Ave & W 15th St,40.742784,-74.00773322,0,0
Chelsea Market-Tenth Ave & W 16th St,40.74342945,-74.00732038,0,1
Artichoke Basille's Pizza-Tenth Ave & W 17th St,40.74404281,-74.00680508,0,2
Chelsea Square Market-Tenth Ave & W 18th St,40.74462282,-74.00636853,0,3
Urbana Caf�� and Gallery-Tenth Ave & W 19th St,40.74521204,-74.00596014,0,4
The High Line Hotel-Tenth Ave & W 20th St,40.74580153,-74.00553669,0,5
Guardian Angel Worship Site-Tenth Ave & W 21th St,40.74638648,-74.00510695,0,6
Clement Clarke Moore Park-Tenth Ave & W 22nd St,40.74700101,-74.00463867,0,7
CVS-Tenth Ave & W 23th St,40.74770197,-74.00417458,0,8
Manhattan Car Wash-Tenth Ave & W 24th St,40.74835925,-74.00373751,0,9
Joe's Auto General Repair-Tenth Ave & W 25th St,40.74898318,-74.00324221,0,10
Starbucks Reserve Roastery-Ninth Ave & W 15th St,40.74166452,-74.00494922,1,0
Tao Downtown-Ninth Ave & W 16th St,40.742259,-74.00441882,1,1
Alaska Food Market-Ninth Ave & W 17th St,40.7428825,-74.0040128,1,2
Bathtub Gin-Ninth Ave & W 18th St,40.7434541,-74.00357572,1,3
Gotham Pizza-Ninth Ave & W 19th St,40.74405305,-74.00317474,1,4
Cushman Row-Ninth Ave & W 20th St,40.7446332,-74.00274126,1,5
Dashing diva Chelsea-Ninth Ave & W 21st St,40.7452113,-74.00230932,1,6
Chelsea Frame-Ninth Ave & W 22nd St,40.74581262,-74.00186273,1,7
Chelsea Square Restaurant-Ninth Ave & W 23th St,40.74650805,-74.00135961,1,8
Gristedes-Ninth Ave & W 24th St,40.74718234,-74.00090627,1,9
Empire Dell-Ninth Ave & W 25th St,40.74776307,-74.00041627,1,10
Google Headquarters-Eighth Ave & W 15th St,40.74043791,-74.00199351,2,0
Bank of America-Eighth Ave & W 16th St,40.74106329,-74.00150901,2,1
Liberty High School Academy for Newcommers-Eighth Ave & W 17th St,40.74163602,-74.00112993,2,2
Citipups-Eighth Ave & W 18th St,40.7422264,-74.00071822,2,3
AT&T-Eighth Ave & W 19th St,40.7428173,-74.00029113,2,4
The Salvation Army Thrift Store-Eighth Ave & W 20th St,40.74339003,-73.99984005,2,5
Eighth Ave & W 21st St,40.74396276,-73.99938897,2,6
Barracude Lounge-Eighth Ave & W 22nd St,40.74459004,-73.99896187,2,7
Mount Sinal Doctors-Eighth Ave & W 23th St,40.74527185,-73.99851078,2,8
Brookly Bagel & Coffee Company-Eighth Ave & W 24th St,40.74591731,-73.99803568,2,9
Blink Fitness-Eighth Ave & W 25th St,40.74659251,-73.997567,2,10
Westville-Seventh Ave & W 15th St,40.73920952,-73.99919639,3,0
Winston Preparatory School-Seventh Ave & W 16th St,40.73985498,-73.99872134,3,1
Williams Sonoma-Seventh Ave & W 17th St,40.74044589,-73.99829427,3,2
The UPS Store-Seventh Ave & W 18th St,40.74100044,-73.9978672,3,3
Elmo-Seventh Ave & W 19th St,40.74162772,-73.99744013,3,4
Bar Volce-Seventh Ave & W 20th St,40.74220043,-73.99701305,3,5
Kona Coffee Roasters - Chelsea-Seventh Ave & W 21st St,40.74277316,-73.99658597,3,6
QQ Nails & Spa-Seventh Ave & W 22nd St,40.74341862,-73.99611089,3,7
Gotham Comedy Club-Seventh Ave & W 23th St,40.74409925,-73.99564098,3,8
The High School of Fashion Industries-Seventh Ave & W 24th St,40.74474471,-73.99514189,3,9
Whole Foods Market-Seventh Ave & W 25th St,40.74533561,-73.99471479,3,10
Lenox Hill Radiology-Sixth Ave & W 15th St,40.7380195,-73.99635406,4,0
Dave's-Sixth Ave & W 16th St,40.73864678,-73.99587902,4,1
Sally Beauty-Sixth Ave & W 17th St,40.73923768,-73.99545196,4,2
TJ Maxx-Sixth Ave & W 18th St,40.73982859,-73.9950009,4,3
Mens Warehouse-Sixth Ave & W 19th St,40.7404195,-73.99459783,4,4
Jue Lan Club-Sixth Ave & W 20th St,40.74101041,-73.99419476,4,5
Doux Supper Club-Sixth Ave & W 21st St,40.7416195,-73.99371969,4,6
Blue Mercury-Sixth Ave & W 22nd St,40.74221917,-73.99330311,4,7
Burlington-Sixth Ave & W 23th St,40.74287027,-73.99275316,4,8
MoneyGram-Sixth Ave & W 24th St,40.74357027,-73.99232607,4,9
Fairway Market-Sixth Ave & W 25th St,40.74410664,-73.99182699,4,10
Warby Parker-Fifth Ave & W 15th St,40.73668712,-73.99311179,5,0
Bandier-Fifth Ave & W 16th St,40.7373134,-73.99263499,5,1
J Crew-Fifth Ave & W 17th St,40.73793667,-73.99224837,5,2
Athleta-Fifth Ave & W 18th St,40.73847754,-73.99183064,5,3
Sephora-Fifth Ave & W 19th St,40.73906845,-73.99137959,5,4
New Balance-Fifth Ave & W 20th St,40.73965936,-73.99092853,5,5
Club Monaco-Fifth Ave & W 21st St,40.74023209,-73.99054946,5,6
HOKA-Fifth Ave & W 22nd St,40.74085937,-73.9900504,5,7
LEGO Store-Fifth Ave & W 23th St,40.741523,-73.98959933,5,8
YETI-Fifth Ave & W 24th St,40.74215028,-73.98912426,5,9
Worth Square-Fifth Ave & W 25th St,40.74283209,-73.98872118,5,10
Starbucks-Park Ave S & E 15th St,40.73530583,-73.98984298,6,0
FIFTYLAN Union Square-Park Ave S & E 16th St,40.73591432,-73.98938864,6,1
Petco-Park Ave S & E 17th St,40.73650521,-73.98898559,6,2
Rothmans-Park Ave S & E 18th St,40.73707793,-73.98853455,6,3
Union Square Caf��-Park Ave S & E 19th St,40.73766884,-73.98808351,6,4
Barbounia-Park Ave S & E 20th St,40.73827794,-73.98768045,6,5
Blue Bottle Coffee-Park Ave S & E 21st St,40.73883248,-73.98720541,6,6
European Wax Center-Park Ave S & E 22nd St,40.73947794,-73.98675435,6,7
7-Eleven-Park Ave S & E 23th St,40.74010522,-73.98627929,6,8
CAVA-Park Ave S & E 24th St,40.74080675,-73.98579512,6,9
The Provident Loan Society-Park Ave S & E 25th St,40.7414475,-73.98534502,6,10
Paper Concepts-Third Ave & E 15th St,40.7339702,-73.98667656,7,0
