longitude,latitude,address,type
-74.00773322,40.742784,Rivian-Tenth Ave & W 15th St,garage
-74.00732038,40.74342945,Chelsea Market-Tenth Ave & W 16th St,normal
-74.00680508,40.74404281,Artichoke Basille's Pizza-Tenth Ave & W 17th St,normal
-74.00636853,40.74462282,Chelsea Square Market-Tenth Ave & W 18th St,normal
-74.00596014,40.74521204,Urbana Caf�� and Gallery-Tenth Ave & W 19th St,normal
-74.00553669,40.74580153,The High Line Hotel-Tenth Ave & W 20th St,normal
-74.00510695,40.74638648,Guardian Angel Worship Site-Tenth Ave & W 21th St,normal
-74.00463867,40.74700101,Clement Clarke Moore Park-Tenth Ave & W 22nd St,normal
-74.00417458,40.74770197,CVS-Tenth Ave & W 23th St,normal
-74.00373751,40.74835925,Manhattan Car Wash-Tenth Ave & W 24th St,normal
-74.00324221,40.74898318,Joe's Auto General Repair-Tenth Ave & W 25th St,normal
-74.00494922,40.74166452,Starbucks Reserve Roastery-Ninth Ave & W 15th St,normal
-74.00441882,40.742259,Tao Downtown-Ninth Ave & W 16th St,normal
-74.0040128,40.7428825,Alaska Food Market-Ninth Ave & W 17th St,normal
-74.00357572,40.7434541,Bathtub Gin-Ninth Ave & W 18th St,normal
-74.00317474,40.74405305,Gotham Pizza-Ninth Ave & W 19th St,normal
-74.00274126,40.7446332,Cushman Row-Ninth Ave & W 20th St,normal
-74.00230932,40.7452113,Dashing diva Chelsea-Ninth Ave & W 21st St,normal
-74.00186273,40.74581262,Chelsea Frame-Ninth Ave & W 22nd St,normal
-74.00135961,40.74650805,Chelsea Square Restaurant-Ninth Ave & W 23th St,normal
-74.00090627,40.74718234,Gristedes-Ninth Ave & W 24th St,normal
-74.00041627,40.74776307,Empire Dell-Ninth Ave & W 25th St,normal
-74.00199351,40.74043791,Google Headquarters-Eighth Ave & W 15th St,normal
-74.00150901,40.74106329,Bank of America-Eighth Ave & W 16th St,normal
-74.00112993,40.74163602,Liberty High School Academy for Newcommers-Eighth Ave & W 17th St,normal
-74.00071822,40.7422264,Citipups-Eighth Ave & W 18th St,normal
-74.00029113,40.7428173,AT&T-Eighth Ave & W 19th St,normal
-73.99984005,40.74339003,The Salvation Army Thrift Store-Eighth Ave & W 20th St,normal
-73.99938897,40.74396276,Eighth Ave & W 21st St,normal
-73.99896187,40.74459004,Barracude Lounge-Eighth Ave & W 22nd St,normal
-73.99851078,40.74527185,Mount Sinal Doctors-Eighth Ave & W 23th St,normal
-73.99803568,40.74591731,Brookly Bagel & Coffee Company-Eighth Ave & W 24th St,normal
-73.997567,40.74659251,Blink Fitness-Eighth Ave & W 25th St,normal
-73.99919639,40.73920952,Westville-Seventh Ave & W 15th St,normal
-73.99872134,40.73985498,Winston Preparatory School-Seventh Ave & W 16th St,normal
-73.99829427,40.74044589,Williams Sonoma-Seventh Ave & W 17th St,normal
-73.9978672,40.74100044,The UPS Store-Seventh Ave & W 18th St,normal
-73.99744013,40.74162772,Elmo-Seventh Ave & W 19th St,normal
-73.99701305,40.74220043,Bar Volce-Seventh Ave & W 20th St,normal
-73.99658597,40.74277316,Kona Coffee Roasters - Chelsea-Seventh Ave & W 21st St,normal
-73.99611089,40.74341862,QQ Nails & Spa-Seventh Ave & W 22nd St,normal
-73.99564098,40.74409925,Gotham Comedy Club-Seventh Ave & W 23th St,normal
-73.99514189,40.74474471,The High School of Fashion Industries-Seventh Ave & W 24th St,normal
-73.99471479,40.74533561,Whole Foods Market-Seventh Ave & W 25th St,normal
-73.99635406,40.7380195,Lenox Hill Radiology-Sixth Ave & W 15th St,normal
