VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-01-01 00:00:00,2016-01-01 00:00:00,2,1.1,-73.99037170410156,40.73469543457031,1,N,-73.98184204101562,40.73240661621094,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
2,2016-01-01 00:00:00,2016-01-01 00:00:00,5,4.9,-73.98078155517578,40.72991180419922,1,N,-73.94447326660156,40.716678619384766,1,18.0,0.5,0.5,0.0,0.0,0.3,19.3
2,2016-01-01 00:00:00,2016-01-01 00:00:00,1,10.54,-73.98455047607422,40.6795654296875,1,N,-73.95027160644531,40.78892517089844,1,33.0,0.5,0.5,0.0,0.0,0.3,34.3
2,2016-01-01 00:00:00,2016-01-01 00:00:00,1,4.75,-73.99346923828125,40.718990325927734,1,N,-73.96224212646484,40.65733337402344,2,16.5,0.0,0.5,0.0,0.0,0.3,17.3
2,2016-01-01 00:00:00,2016-01-01 00:00:00,3,1.76,-73.96062469482422,40.78133010864258,1,N,-73.97726440429688,40.758514404296875,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-01-01 00:00:00,2016-01-01 00:18:30,2,5.52,-73.98011779785156,40.74304962158203,1,N,-73.91349029541016,40.76314163208008,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3
2,2016-01-01 00:00:00,2016-01-01 00:26:45,2,7.45,-73.99405670166016,40.71998977661133,1,N,-73.96636199951172,40.78987121582031,2,26.0,0.5,0.5,0.0,0.0,0.3,27.3
1,2016-01-01 00:00:01,2016-01-01 00:11:55,1,1.2,-73.97942352294922,40.74461364746094,1,N,-73.99203491210938,40.753944396972656,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
1,2016-01-01 00:00:02,2016-01-01 00:11:14,1,6.0,-73.94715118408203,40.791046142578125,1,N,-73.92076873779298,40.865577697753906,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3
2,2016-01-01 00:00:02,2016-01-01 00:11:08,1,3.21,-73.99834442138672,40.72389602661133,1,N,-73.995849609375,40.68840026855469,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8
2,2016-01-01 00:00:03,2016-01-01 00:06:19,1,0.79,-74.00614929199219,40.744918823242195,1,N,-73.9937973022461,40.74143981933594,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-01-01 00:00:03,2016-01-01 00:15:49,6,2.43,-73.96932983398438,40.7635383605957,1,N,-73.99568939208984,40.7442512512207,1,12.0,0.5,0.5,3.99,0.0,0.3,17.29
2,2016-01-01 00:00:03,2016-01-01 00:00:11,4,0.01,-73.98902130126953,40.721538543701165,1,N,-73.98896026611328,40.72169876098633,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8
1,2016-01-01 00:00:04,2016-01-01 00:14:32,1,3.7,-74.00430297851562,40.74224090576172,1,N,-74.00736236572266,40.70693588256836,1,14.0,0.5,0.5,3.05,0.0,0.3,18.35
1,2016-01-01 00:00:05,2016-01-01 00:14:27,2,2.2,-73.99199676513672,40.71857833862305,1,N,-74.00513458251953,40.73994445800781,1,11.0,0.5,0.5,1.5,0.0,0.3,13.8
2,2016-01-01 00:00:05,2016-01-01 00:07:17,1,0.54,-73.98516082763672,40.768951416015625,1,N,-73.99022674560547,40.7617301940918,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-01-01 00:00:05,2016-01-01 00:07:14,1,1.92,-73.97309112548828,40.79536056518555,1,N,-73.9783706665039,40.77315139770508,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2016-01-01 00:00:06,2016-01-01 00:04:44,1,1.7,-73.9821014404297,40.774696350097656,1,Y,-73.97093963623047,40.79670715332031,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95
2,2016-01-01 00:00:06,2016-01-01 00:07:14,1,1.38,-73.99484252929688,40.71849822998047,1,N,-73.98980712890625,40.734230041503906,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
1,2016-01-01 00:00:07,2016-01-01 00:20:35,2,4.9,-73.95303344726562,40.672115325927734,1,N,-73.986572265625,40.710594177246094,1,19.0,0.5,0.5,4.06,0.0,0.3,24.36
1,2016-01-01 00:00:07,2016-01-01 00:09:49,1,1.8,-73.98916625976562,40.72658920288086,1,N,-74.00948333740233,40.71507263183594,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
2,2016-01-01 00:00:08,2016-01-01 00:18:51,1,3.09,-73.99906921386719,40.72017288208008,1,N,-73.973388671875,40.756561279296875,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8
2,2016-01-01 00:00:08,2016-01-01 00:04:37,1,0.72,-73.99713897705078,40.74721908569336,1,N,-74.00448608398438,40.75179672241211,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
2,2016-01-01 00:00:08,2016-01-01 00:03:24,1,0.69,-73.9974136352539,40.736675262451165,1,N,-73.98566436767578,40.73268127441406,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2016-01-01 00:00:09,2016-01-01 00:19:03,3,5.3,-73.99713134765625,40.736961364746094,1,N,-73.92842102050781,40.75558090209961,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15
1,2016-01-01 00:00:09,2016-01-01 00:07:18,2,1.2,-73.96391296386719,40.71217346191406,1,N,-73.95133209228516,40.71220016479492,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
2,2016-01-01 00:00:10,2016-01-01 00:06:15,2,0.97,-73.99939727783203,40.743900299072266,1,N,-73.98887634277344,40.74531936645508,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-01-01 00:00:10,2016-01-01 00:02:20,1,0.87,-73.95440673828125,40.77806854248047,1,N,-73.94892883300781,40.78858184814453,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2016-01-01 00:00:12,2016-01-01 00:01:17,1,0.13,-73.99165344238281,40.75455856323242,1,N,-73.9906005859375,40.75611877441406,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3
1,2016-01-01 00:00:14,2016-01-01 00:13:02,1,2.4,-73.99559783935547,40.744239807128906,1,N,-73.98545837402344,40.76871109008789,1,11.0,0.5,0.5,3.05,0.0,0.3,15.35
2,2016-01-01 00:00:14,2016-01-01 00:02:38,2,0.44,-73.99027252197266,40.772010803222656,1,N,-73.99504089355469,40.769771575927734,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36
2,2016-01-01 00:00:15,2016-01-01 00:06:31,1,1.56,-73.94010925292967,40.75115203857422,1,N,-73.93002319335938,40.767051696777344,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2016-01-01 00:00:16,2016-01-01 00:33:00,2,2.9,-73.9821548461914,40.774879455566406,1,N,-73.98136138916016,40.74411392211914,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8
1,2016-01-01 00:00:17,2016-01-01 00:19:14,1,1.2,-74.00806427001953,40.742069244384766,1,N,-74.00228881835938,40.742164611816406,3,12.5,0.5,0.5,0.0,0.0,0.3,13.8
1,2016-01-01 00:00:17,2016-01-01 00:13:59,1,1.5,-74.00267791748047,40.73063659667969,1,N,-73.98042297363281,40.72621154785156,1,10.0,0.5,0.5,3.35,0.0,0.3,14.65
2,2016-01-01 00:00:17,2016-01-01 00:42:23,1,2.32,-73.98165893554688,40.773738861083984,1,N,-73.99596405029298,40.75383758544922,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3
2,2016-01-01 00:00:17,2016-01-01 00:14:26,5,9.63,-73.98174285888672,40.71915817260742,1,N,-73.93882751464844,40.82918167114258,1,27.0,0.5,0.5,8.49,0.0,0.3,36.79
